CMDLINE /Users/zouyingjie/soft/python/500Lines/vir_500lines/bin/python3.6 cp02/demo01.py
MEM 1.527344 1504533985.5503
MEM 15.875000 1504533985.6555
MEM 21.375000 1504533985.7585
MEM 26.527344 1504533985.8598
MEM 32.527344 1504533985.9649
MEM 33.816406 1504533986.0660
MEM 37.218750 1504533986.1696
MEM 37.246094 1504533986.2746
MEM 37.316406 1504533986.3755
MEM 37.386719 1504533986.4780
MEM 37.464844 1504533986.5824
MEM 37.539062 1504533986.6843
MEM 37.660156 1504533986.7889
MEM 37.851562 1504533986.8892
MEM 37.996094 1504533986.9915
MEM 38.144531 1504533987.0932
MEM 38.171875 1504533987.1975
MEM 38.171875 1504533987.2983
MEM 38.171875 1504533987.4011
MEM 38.171875 1504533987.5034
MEM 38.171875 1504533987.6058
MEM 38.171875 1504533987.7078
MEM 38.171875 1504533987.8108
MEM 38.171875 1504533987.9133
MEM 38.171875 1504533988.0156
MEM 38.171875 1504533988.1176
MEM 38.171875 1504533988.2211
MEM 38.171875 1504533988.3225
MEM 38.171875 1504533988.4227
MEM 38.171875 1504533988.5276
MEM 38.171875 1504533988.6278
MEM 38.171875 1504533988.7282
MEM 38.171875 1504533988.8297
MEM 38.171875 1504533988.9300
MEM 38.171875 1504533989.0333
MEM 38.171875 1504533989.1370
MEM 38.171875 1504533989.2383
MEM 38.171875 1504533989.3433
MEM 38.171875 1504533989.4455
MEM 38.171875 1504533989.5498
MEM 38.171875 1504533989.6537
MEM 38.171875 1504533989.7566
MEM 38.171875 1504533989.8597
MEM 38.171875 1504533989.9638
MEM 38.171875 1504533990.0644
MEM 38.171875 1504533990.1673
MEM 38.171875 1504533990.2706
MEM 38.171875 1504533990.3711
MEM 38.171875 1504533990.4719
MEM 38.171875 1504533990.5760
MEM 38.171875 1504533990.6794
MEM 38.171875 1504533990.7835
MEM 38.171875 1504533990.8848
MEM 38.171875 1504533990.9852
MEM 38.171875 1504533991.0861
MEM 38.171875 1504533991.1872
MEM 38.171875 1504533991.2900
MEM 38.171875 1504533991.3913
MEM 38.171875 1504533991.4949
MEM 38.171875 1504533991.5967
MEM 38.171875 1504533991.6984
MEM 38.171875 1504533991.7992
MEM 38.171875 1504533991.9032
MEM 38.171875 1504533992.0035
MEM 38.171875 1504533992.1086
MEM 38.171875 1504533992.2124
MEM 38.171875 1504533992.3127
MEM 38.171875 1504533992.4148
MEM 38.171875 1504533992.5159
MEM 38.171875 1504533992.6196
MEM 38.171875 1504533992.7231
MEM 38.171875 1504533992.8267
MEM 38.171875 1504533992.9275
MEM 38.171875 1504533993.0291
MEM 38.171875 1504533993.1301
MEM 38.171875 1504533993.2310
MEM 38.171875 1504533993.3323
MEM 38.171875 1504533993.4357
MEM 38.171875 1504533993.5378
MEM 38.175781 1504533993.6427
MEM 38.175781 1504533993.7432
MEM 38.175781 1504533993.8477
MEM 38.175781 1504533993.9486
MEM 38.175781 1504533994.0520
MEM 38.175781 1504533994.1539
MEM 38.175781 1504533994.2586
MEM 38.175781 1504533994.3617
