CMDLINE /Users/zouyingjie/soft/python/500Lines/vir_500lines/bin/python3.6 cp02/demo01.py
MEM 1.460938 1504625568.7403
MEM 13.218750 1504625568.8451
MEM 16.609375 1504625568.9504
MEM 20.003906 1504625569.0565
MEM 22.996094 1504625569.1737
MEM 26.269531 1504625569.2780
MEM 28.566406 1504625569.3818
MEM 29.308594 1504625569.4825
MEM 30.367188 1504625569.5841
MEM 32.414062 1504625569.6846
MEM 33.394531 1504625569.7892
MEM 34.128906 1504625569.8941
MEM 34.324219 1504625569.9982
MEM 36.148438 1504625570.1024
MEM 36.921875 1504625570.2066
MEM 37.488281 1504625570.3119
MEM 40.585938 1504625570.4156
MEM 45.332031 1504625570.5201
MEM 47.941406 1504625570.6230
